file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0181_1601327_to_1608972,སྐད་ཆ་བཤད་ཡ། ཨེ་ནས་སྐད་ཆ་བཤད་ཡ་ལ། སྐད་ཆ་གང་འདྲའི་བཤད་དགོས་རེད་ལབ་ཡིན། ག་རེའི་སྐོར་ལ་བཤད་དགོས་རེད་འོ་དེ་སྐད་ཆ་དྲིས།  ,skad cha bshad ya/_e nas skad cha bshad ya la/_skad cha gang 'dra'i bshad dgos red lab yin/_ga re'i skor la bshad dgos red 'o de skad cha dris/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0181_1601327_to_1608972.wav,STT_CS,3,116,7.645,wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0181_1601327_to_1608972.wav,སྐད་ཆ་བཤད་ཡ་ལ། འོ། ཨ་ནས་སྐད་ཆ་བཤད་ཡ་དེ་སྐདཆ། སྐད་ཆ་ག་འདྲའི་བཤད་དགོས་རེད་བེ་ལ། ག་རེའི་སྐོར་ལ་བཤད་དགོས་རེད་བེ། འོ་དེ།
STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0194_1729679_to_1739643,དཔེ་མཛོད་རྒན་ལགས་སླེབས་ན་མ་གཏོགས་འགྲོ་ཡ་མ་རེད། ཨེ་ནས་ང་ལ་བཀའ་བཀྱོན་གཏང་གི་རེད། དཔེ་མཛོད་རྒན་ལགས་སླེབས་ཀྱི་རེད་བ་ཨེ་ནས་ང་ཚོ་འགོ་བཙུགས་དགོས། འོ། ད་ལྟ་ཏོག་ཙི་བསྡད་ཨ།  ,dpe mdzod rgan lags slebs na ma gtogs 'gro ya ma red/_e nas nga la bka' bkyon gtang gi red/_dpe mdzod rgan lags slebs kyi red ba e nas nga tsho 'go btsugs dgos/_'o/_da lta tog tsi bsdad a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0194_1729679_to_1739643.wav,STT_CS,3,164,9.964,wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0194_1729679_to_1739643.wav,དཔེ་མཛོད་རྒན་ལགས་སླེབས་ན་མ་རེད་ད་འགྲོ་ཡ་མ་རེད་ད། ཨ་ནས་ང་ལ་བཀའ་སྐྱོན་བཏང་གི་རེདདཔེ་མཛོད་རྒན་ལགས་སླེབས་ཀྱི་རཱ། ཨ་ནས་ང་ཚོ་མགོ་བཙུང་གོ། ་ཞ་ག་ན་ང་ཚོ་རྒན་ལགས་།
STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0199_1776017_to_1784657,མགྱོགས་སི་ཟ་མགྱོགས་སི་ཟ། ག་རེ་བྱེད་ནས། མགྱོགས་སི་ཟ་ད་ཏིང་ཏིང་རྡུང་ས་རེད། ང་ཚོ་ནང་ལ་འགྲོ་ཡ་རེད། རྒྱུགས་ཤར་སློད་ནས། མགྱོགས་སི་ཟ། ག་རེ་བྱེད་ཡ་རེད། སྒྲུང་བཤད་ཡ་ཡིན་པ། ཨ་ལས།  ,mgyogs si za mgyogs si za/_ga re byed nas/_mgyogs si za da ting ting rdung sa red/_nga tsho nang la 'gro ya red/_rgyugs shar slod nas/_mgyogs si za/_ga re byed ya red/_sgrung bshad ya yin pa/_a las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0199_1776017_to_1784657.wav,STT_CS,3,170,8.64,wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0199_1776017_to_1784657.wav,མགྱོགས་པོ་ཟ། མགྱོགས་ཟོ་ཟ། ག་རེ་བྱས་ནས། མགྱོགས་པོ་ཟ་སྟངས་ཏིང་ཏིང་རྡུལ་ས་རོད། ང་ཚོའི་ནང་ལ་འགྲོ་ཡ་ར་ད་ད། སྒྲུང་བཤད་འགྲིག་ས་། མགྱོགས་པོ་ཟ། ག་རེ་བྱེད་ཀྱི་ཡོད། སྒྲུང་བཤད་ཡ་མ་སྤྲད་།
STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0201_1793145_to_1799912,དབྱངས་ཅན་ཆོས་སྒྲོན། བསྟན་སྒྲོལ་དཀར་ལ་དགོངས་པ་ཞུ་རོགས་བྱེད་དང་ལབ།  ,dbyangs can chos sgron/_bstan sgrol dkar la dgongs pa zhu rogs byed dang lab/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0201_1793145_to_1799912.wav,STT_CS,3,66,6.767,wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0201_1793145_to_1799912.wav,དབྱངས་ཅན་ཆོས་སྒྲལ། བསྟན་སྒྲོལ་ཀ་རཱ་དགོངས་པ་ཞུ་བྲོགས་བྱིས་དང་ལག།
STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0202_1799912_to_1806679,ལོ་རྒན་ལགས་ལ། ལབ་ཚར་ཡིན་ད། བསྟན་སྒྲོལ་དཀར། དཔེ་མཛོད་རྒན་ལགས་སླེབས་སོང་།  ,lo rgan lags la/_lab tshar yin da/_bstan sgrol dkar/_dpe mdzod rgan lags slebs song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0202_1799912_to_1806679.wav,STT_CS,3,73,6.767,wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0202_1799912_to_1806679.wav,ཨ་ལོ་རྒན་ལགས་ལ། ་སུ་ལབ་ཀ ལབ་ཚར་གན་ལོ། དཔེ་མཛོད་རྒན་ལགས་སླེབས་སོང་།
STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0211_1879802_to_1888860,འཛིན་གྲྭ་ག་ཚོད་རེད་འདི། ཌི་རེད་བེ་ཨེཧྥ་རེད་འདི།  ,'dzin grwa ga tshod red 'di/_Di red be eh+pha red 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0211_1879802_to_1888860.wav,STT_CS,3,49,9.058,wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0211_1879802_to_1888860.wav,འཛིན་གྲྭ་ག་ཚོད་རེད། དི་རེད་ཨཡིསྀ་ྀརེད་དི། དི།
STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0081_740145_to_745394,ཨ་མ་སླེབས་ཀྱི་འདུག ཨ་མ། ཨ་མ།  ,a ma slebs kyi 'dug_a ma/_a ma/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0081_740145_to_745394.wav,STT_CS,3,30,5.249,wav16k/STT_CS-L-2013_2013-M_M-D_D-B04_B04-3_3-R_R-01_0081_740145_to_745394.wav,ད་་དགོ་ལ། ཨ་མ་སླེབས་ཀི་འདུག ཨ་མ ་མ་འགྱོག་ས།
STT_TT00062_00754.200-00757.350,སྡུག་པའི་ཆ་ནས། ཟེར་ཡ་མི་འདུག ད་གང་ལྟར་ཕྱོགས་གཞན་ཅིག་ནས་བཤད་པ་ཡིན་པ་ཡིན་ན།  ,sdug pa'i cha nas/_zer ya mi 'dug_da gang ltar phyogs gzhan cig nas bshad pa yin pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00062_00754.200-00757.350.wav,STT_TT,3,75,3.1499999999999773,wav16k/STT_TT00062_00754.200-00757.350.wav,སྡུག་པའི་ཆ་ནས་ཟེ་ཡ་མི་འདུག ད་གང་ལྟར་ཕྱོགས་གཞན་ཅིག་ནས་བཤད་པ་ཡིན་པ་ཡིན་ན།
STT_TT00062_00757.700-00759.750,ཨེ་ནས། རྒྱ་གར་ནང་ལོགས་ལ་ཡ་ ,e nas/_rgya gar nang logs la ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00062_00757.700-00759.750.wav,STT_TT,3,27,2.0499999999999545,wav16k/STT_TT00062_00757.700-00759.750.wav,ཨེ་ནས། རྒྱ་གར་ནང་ལོགས་ལ་ཡ་
STT_TT00062_00760.000-00761.600,ཨེན། དེ་འདྲའི་གི་ག་རེ་ཞུ་རེད་ཅིག ,en/_de 'dra'i gi ga re zhu red cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00062_00760.000-00761.600.wav,STT_TT,3,33,1.6000000000000227,wav16k/STT_TT00062_00760.000-00761.600.wav,ཨེ་ནས་ དེ་འདྲའ་ི ག་རེ་ཞུ་དགོས་རེད་ཅིག
